Timestamp,Type,Severity,Message
2026-01-26 13:59:00,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 13:59:01,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 13:59:01,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 13:59:01,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 13:59:01,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 13:59:01,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 13:59:01,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 13:59:01,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 13:59:01,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 13:59:02,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 13:59:02,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 13:59:02,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 13:59:02,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 13:59:02,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 13:59:02,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 13:59:02,ALERT,HIGH,Camera blackout detected for 18s
2026-01-26 13:59:02,ALERT,HIGH,Camera blackout detected for 18s
2026-01-26 13:59:02,ALERT,HIGH,Camera blackout detected for 18s
2026-01-26 13:59:03,ALERT,HIGH,Camera blackout detected for 18s
2026-01-26 13:59:03,ALERT,HIGH,Camera blackout detected for 18s
2026-01-26 13:59:03,ALERT,HIGH,Camera blackout detected for 18s
2026-01-26 13:59:03,ALERT,HIGH,Camera blackout detected for 18s
2026-01-26 13:59:03,ALERT,HIGH,Camera blackout detected for 18s
2026-01-26 13:59:03,ALERT,HIGH,Camera blackout detected for 19s
2026-01-26 13:59:03,ALERT,HIGH,Camera blackout detected for 19s
2026-01-26 13:59:03,ALERT,HIGH,Camera blackout detected for 19s
2026-01-26 13:59:04,ALERT,HIGH,Camera blackout detected for 19s
2026-01-26 13:59:04,ALERT,HIGH,Camera blackout detected for 19s
2026-01-26 13:59:04,ALERT,HIGH,Camera blackout detected for 19s
2026-01-26 13:59:04,ALERT,HIGH,Camera blackout detected for 19s
2026-01-26 13:59:04,ALERT,HIGH,Camera blackout detected for 19s
2026-01-26 13:59:04,ALERT,HIGH,Camera blackout detected for 19s
2026-01-26 13:59:04,ALERT,HIGH,Camera blackout detected for 20s
2026-01-26 13:59:04,ALERT,HIGH,Camera blackout detected for 20s
2026-01-26 13:59:05,ALERT,HIGH,Camera blackout detected for 20s
2026-01-26 13:59:05,ALERT,HIGH,Camera blackout detected for 20s
2026-01-26 13:59:05,ALERT,HIGH,Camera blackout detected for 20s
2026-01-26 13:59:05,ALERT,HIGH,Camera blackout detected for 20s
2026-01-26 13:59:05,ALERT,HIGH,Camera blackout detected for 20s
